City_ID,City,Country,Date,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
159,Develi,TR,2022-02-01 13:51:36,35.4922,38.3906,36.75,99,100,5.3
160,Lavrentiya,RU,2022-02-01 13:51:36,-171.0,65.5833,5.7,66,7,20.49
161,Salgado,BR,2022-02-01 13:51:36,-37.475,-11.0319,81.3,45,35,8.52
162,Nizwa,OM,2022-02-01 13:51:37,57.5333,22.9333,80.11,14,46,9.04
163,Provideniya,RU,2022-02-01 13:51:37,-173.3,64.3833,5.49,66,32,23.67
164,Grajau,BR,2022-02-01 13:51:37,-46.1386,-5.8194,81.9,77,82,2.98
165,Gamba,GA,2022-02-01 13:51:38,10.0,-2.65,83.41,68,46,10.94
166,Lagoa,PT,2022-02-01 13:51:38,-27.9833,39.05,59.14,78,9,15.64
167,Puerto Madryn,AR,2022-02-01 13:47:09,-65.0385,-42.7692,74.12,40,0,17.09
168,Lata,PT,2022-02-01 13:51:39,-8.3327,40.1629,67.35,41,0,10.25
169,Kurilsk,RU,2022-02-01 13:51:39,147.8833,45.2333,23.95,81,99,21.9
170,Raudeberg,NO,2022-02-01 13:51:39,5.1352,61.9875,37.87,93,100,4.0
171,Port Elizabeth,ZA,2022-02-01 13:51:40,25.5701,-33.918,83.1,69,20,6.91
172,Te Karaka,NZ,2022-02-01 13:51:40,177.8679,-38.4654,57.94,98,31,2.59
173,Hofn,IS,2022-02-01 13:51:40,-15.2082,64.2539,21.43,56,0,2.06
174,Lompoc,US,2022-02-01 13:51:41,-120.4579,34.6391,55.13,84,0,0.0
175,Pandan,PH,2022-02-01 13:51:41,124.1694,14.0453,77.49,85,100,16.17
176,Yulara,AU,2022-02-01 13:51:41,130.9889,-25.2406,71.44,83,100,10.36
177,Vozhega,RU,2022-02-01 13:51:42,40.2213,60.4725,18.21,96,100,5.59
178,Samarai,PG,2022-02-01 13:52:42,150.6667,-10.6167,81.5,78,100,15.32
179,Aklavik,CA,2022-02-01 13:52:42,-135.0107,68.2191,-10.37,100,98,3.89
180,Ak-Dovurak,RU,2022-02-01 13:52:43,90.6,51.1833,-9.51,95,97,0.4
181,Teahupoo,PF,2022-02-01 13:52:43,-149.2667,-17.8333,69.76,79,31,19.04
182,Korem,ET,2022-02-01 13:52:43,39.5228,12.5058,60.03,58,52,10.16
183,Huallanca,PE,2022-02-01 13:52:44,-76.9417,-9.8993,50.67,57,100,1.95
184,Moose Factory,CA,2022-02-01 13:52:44,-80.6094,51.2585,19.4,93,100,14.97
185,Sobolevo,RU,2022-02-01 13:52:44,31.8996,54.4299,22.41,93,100,10.74
186,Sitka,US,2022-02-01 13:51:28,-135.33,57.0531,31.89,86,40,3.44
187,Tuatapere,NZ,2022-02-01 13:52:45,167.6833,-46.1333,59.83,95,84,6.58
